Citation,Year,Meta-Analysis,Journal
Stat Med. 2004 May 15;23(9):1455-97. doi: 10.1002/sim.1728.,2004,0,Stat Med
Stat Med. 2016 Jul 20;35(16):2726-40. doi: 10.1002/sim.6905. Epub 2016 Feb 18.,2016,0,Stat Med
Stat Med. 2000 Dec 15;19(23):3199-209. doi: 10.1002/1097-0258(20001215)19:23<3199::aid-sim621>3.0.co;2-q.,2000,0,Stat Med
Stat Med. 1997 Dec 30;16(24):2773-84. doi: 10.1002/(sici)1097-0258(19971230)16:24<2773::aid-sim761>3.0.co;2-q.,1997,0,Stat Med
Stat Med. 1999 Sep 15-30;18(17-18):2223-36. doi: 10.1002/(sici)1097-0258(19990915/30)18:17/18<2223::aid-sim251>3.0.co;2-6.,1999,0,Stat Med
Stat Med. 2018 Mar 30;37(7):1115-1124. doi: 10.1002/sim.7569. Epub 2017 Dec 11.,2018,1,Stat Med
Stat Med. 1998 Jan 30;17(2):219-38. doi: 10.1002/(sici)1097-0258(19980130)17:2<219::aid-sim735>3.0.co;2-o.,1998,0,Stat Med
Stat Med. 2022 Jan 30;41(2):242-257. doi: 10.1002/sim.9233. Epub 2021 Nov 7.,2022,0,Stat Med
Stat Med. 2022 Jul 20;41(16):3199-3210. doi: 10.1002/sim.9412. Epub 2022 May 1.,2022,0,Stat Med
Stat Med. 2018 May 20;37(11):1910-1931. doi: 10.1002/sim.7621. Epub 2018 Mar 15.,2018,0,Stat Med
Stat Med. 2013 Dec 10;32(28):4859-74. doi: 10.1002/sim.5893. Epub 2013 Jul 3.,2013,1,Stat Med
Stat Med. 2017 Sep 30;36(22):3573-3582. doi: 10.1002/sim.7357. Epub 2017 Jun 5.,2017,0,Stat Med
Stat Med. 2000 Jul 15;19(13):1783-92. doi: 10.1002/1097-0258(20000715)19:13<1783::aid-sim497>3.0.co;2-b.,2000,0,Stat Med
Stat Med. 2021 Oct 30;40(24):5276-5297. doi: 10.1002/sim.9125. Epub 2021 Jul 4.,2021,1,Stat Med
Stat Med. 2023 Aug 30;42(19):3443-3466. doi: 10.1002/sim.9813. Epub 2023 Jun 12.,2023,0,Stat Med
Stat Med. 2022 Dec 30;41(30):5844-5876. doi: 10.1002/sim.9592. Epub 2022 Oct 11.,2022,0,Stat Med
Stat Med. 2013 Dec 30;32(30):5398-413. doi: 10.1002/sim.5959. Epub 2013 Sep 4.,2013,1,Stat Med
Stat Med. 2018 Jun 30;37(14):2208-2222. doi: 10.1002/sim.7674. Epub 2018 Apr 22.,2018,0,Stat Med
Stat Med. 2005 Dec 30;24(24):3823-44. doi: 10.1002/sim.2423.,2005,1,Stat Med
Stat Med. 1998 Mar 15-Apr 15;17(5-7):725-37. doi: 10.1002/(sici)1097-0258(19980315/15)17:5/7<725::aid-sim817>3.0.co;2-1.,1998,0,Stat Med
Stat Med. 2002 Jul 30;21(14):2109-29. doi: 10.1002/sim.1180.,2002,0,Stat Med
Stat Med. 2022 Jul 20;41(16):3131-3148. doi: 10.1002/sim.9408. Epub 2022 May 18.,2022,0,Stat Med
Stat Med. 1997 May 15;16(9):1041-74. doi: 10.1002/(sici)1097-0258(19970515)16:9<1041::aid-sim506>3.0.co;2-f.,1997,0,Stat Med
Stat Med. 1995 Jun 15;14(11):1235-48. doi: 10.1002/sim.4780141108.,1995,0,Stat Med
Stat Med. 2008 Mar 15;27(6):810-30. doi: 10.1002/sim.2945.,2008,0,Stat Med
Stat Med. 2022 Jun 30;41(14):2586-2601. doi: 10.1002/sim.9372. Epub 2022 Mar 8.,2022,1,Stat Med
Stat Med. 2022 Sep 30;41(22):4367-4384. doi: 10.1002/sim.9514. Epub 2022 Jul 1.,2022,0,Stat Med
Stat Med. 1996 Jun 30;15(12):1273-80; discussion 1281-3. doi: 10.1002/(SICI)1097-0258(19960630)15:12<1273::AID-SIM307>3.0.CO;2-D.,1996,1,Stat Med
Stat Med. 2020 Jul 20;39(16):2197-2231. doi: 10.1002/sim.8532. Epub 2020 Apr 3.,2020,0,Stat Med
Stat Med. 1995 Apr 30;14(8):721-33. doi: 10.1002/sim.4780140803.,1995,0,Stat Med
Stat Med. 1994 Jul 15-30;13(13-14):1423-35; discussion 1437-40. doi: 10.1002/sim.4780131318.,1994,0,Stat Med
Stat Med. 2022 Aug 15;41(18):3627-3641. doi: 10.1002/sim.9438. Epub 2022 May 21.,2022,0,Stat Med
Stat Med. 1998 Mar 15-Apr 15;17(5-7):697-709. doi: 10.1002/(sici)1097-0258(19980315/15)17:5/7<697::aid-sim815>3.0.co;2-y.,1998,0,Stat Med
Stat Med. 1998 Aug 15-30;17(15-16):1715-23; discussion 1741-3. doi: 10.1002/(sici)1097-0258(19980815/30)17:15/16<1715::aid-sim973>3.0.co;2-6.,1998,0,Stat Med
Stat Med. 2016 Jun 30;35(14):2328-58. doi: 10.1002/sim.6872. Epub 2016 Jan 28.,2016,0,Stat Med
Stat Med. 2021 Mar 15;40(6):1400-1413. doi: 10.1002/sim.8847. Epub 2020 Dec 14.,2021,0,Stat Med
Stat Med. 1997 Dec 30;16(24):2883-900. doi: 10.1002/(sici)1097-0258(19971230)16:24<2883::aid-sim825>3.0.co;2-b.,1997,1,Stat Med
Stat Med. 2023 Dec 20;42(29):5451-5478. doi: 10.1002/sim.9921. Epub 2023 Oct 17.,2023,0,Stat Med
Stat Med. 1997 Jul 30;16(14):1573-85. doi: 10.1002/(sici)1097-0258(19970730)16:14<1573::aid-sim585>3.0.co;2-q.,1997,0,Stat Med
Stat Med. 2022 Jul 30;41(17):3281-3298. doi: 10.1002/sim.9417. Epub 2022 Apr 25.,2022,0,Stat Med
Stat Med. 1993 Jan 30;12(2):111-28. doi: 10.1002/sim.4780120204.,1993,0,Stat Med
Stat Med. 2001 Dec 15;20(23):3625-33. doi: 10.1002/sim.1091.,2001,1,Stat Med
Stat Med. 2022 Feb 20;41(4):625-644. doi: 10.1002/sim.9270. Epub 2021 Dec 5.,2022,1,Stat Med
Stat Med. 1995 Jan 30;14(2):161-84. doi: 10.1002/sim.4780140208.,1995,0,Stat Med
Stat Med. 2004 Jan 30;23(2):305-14. doi: 10.1002/sim.1718.,2004,0,Stat Med
Stat Med. 2016 Mar 30;35(7):1159-77. doi: 10.1002/sim.6782. Epub 2015 Oct 29.,2016,0,Stat Med
Stat Med. 1999 Nov 15;18(21):2961-81. doi: 10.1002/(sici)1097-0258(19991115)18:21<2961::aid-sim206>3.0.co;2-u.,1999,0,Stat Med
Stat Med. 2014 Dec 30;33(30):5371-87. doi: 10.1002/sim.6277. Epub 2014 Aug 4.,2014,0,Stat Med
Stat Med. 1992 Dec;11(16):2083-91. doi: 10.1002/sim.4780111606.,1992,0,Stat Med
Stat Med. 2021 Sep 10;40(20):4362-4375. doi: 10.1002/sim.9034. Epub 2021 May 27.,2021,0,Stat Med
Stat Med. 1993 Mar;12(5-6):471-9. doi: 10.1002/sim.4780120512.,1993,0,Stat Med
Stat Med. 2020 Oct 15;39(23):3105-3119. doi: 10.1002/sim.8593. Epub 2020 Jun 8.,2020,1,Stat Med
Stat Med. 1999 Mar 30;18(6):695-706. doi: 10.1002/(sici)1097-0258(19990330)18:6<695::aid-sim60>3.0.co;2-o.,1999,0,Stat Med
Stat Med. 2005 Feb 28;24(4):563-7. doi: 10.1002/sim.2036.,2005,0,Stat Med
Stat Med. 2001 Oct 30;20(20):3123-57. doi: 10.1002/sim.996.,2001,0,Stat Med
Stat Med. 1999 Apr 15;18(7):855-88. doi: 10.1002/(sici)1097-0258(19990415)18:7<855::aid-sim117>3.0.co;2-7.,1999,0,Stat Med
Stat Med. 2013 Dec 30;32(30):5222-40. doi: 10.1002/sim.5989. Epub 2013 Sep 30.,2013,0,Stat Med
Stat Med. 2000 Jun 15-30;19(11-12):1441-52. doi: 10.1002/(sici)1097-0258(20000615/30)19:11/12<1441::aid-sim436>3.0.co;2-h.,2000,0,Stat Med
Stat Med. 2020 Nov 10;39(25):3459-3475. doi: 10.1002/sim.8675. Epub 2020 Jul 27.,2020,0,Stat Med
Stat Med. 2011 Jul 30;30(17):2062-9. doi: 10.1002/sim.4024. Epub 2011 Feb 24.,2011,0,Stat Med
Stat Med. 1999 Mar 30;18(6):643-54. doi: 10.1002/(sici)1097-0258(19990330)18:6<643::aid-sim76>3.0.co;2-m.,1999,1,Stat Med
Stat Med. 1998 Mar 15-Apr 15;17(5-7):679-96. doi: 10.1002/(sici)1097-0258(19980315/15)17:5/7<679::aid-sim814>3.0.co;2-x.,1998,0,Stat Med
Stat Med. 2023 Oct 15;42(23):4236-4256. doi: 10.1002/sim.9857. Epub 2023 Jul 27.,2023,0,Stat Med
Stat Med. 2013 Jun 30;32(14):2390-405. doi: 10.1002/sim.5691. Epub 2012 Dec 12.,2013,0,Stat Med
Stat Med. 2000 Jul 15;19(13):1793-819. doi: 10.1002/1097-0258(20000715)19:13<1793::aid-sim482>3.0.co;2-q.,2000,0,Stat Med
Stat Med. 1999 Jul 15;18(13):1707-32. doi: 10.1002/(sici)1097-0258(19990715)18:13<1707::aid-sim138>3.0.co;2-h.,1999,0,Stat Med
Stat Med. 2023 Feb 20;42(4):487-516. doi: 10.1002/sim.9628. Epub 2022 Dec 23.,2023,0,Stat Med
Stat Med. 1998 Aug 15-30;17(15-16):1703-14. doi: 10.1002/(sici)1097-0258(19980815/30)17:15/16<1703::aid-sim972>3.0.co;2-g.,1998,0,Stat Med
Stat Med. 1994 Mar 15-Apr 15;13(5-7):509-22. doi: 10.1002/sim.4780130514.,1994,0,Stat Med
Stat Med. 2005 May 30;24(10):1547-61. doi: 10.1002/sim.2025.,2005,1,Stat Med
Stat Med. 2022 Jan 30;41(2):340-355. doi: 10.1002/sim.9240. Epub 2021 Oct 28.,2022,1,Stat Med
Stat Med. 1998 Aug 15-30;17(15-16):1801-9; discussion 1811-2. doi: 10.1002/(sici)1097-0258(19980815/30)17:15/16<1801::aid-sim981>3.0.co;2-l.,1998,0,Stat Med
Stat Med. 2022 Feb 20;41(4):698-718. doi: 10.1002/sim.9249. Epub 2021 Nov 9.,2022,0,Stat Med
Stat Med. 2022 Jun 30;41(14):2497-2512. doi: 10.1002/sim.9366. Epub 2022 Mar 7.,2022,0,Stat Med
Stat Med. 2023 Sep 20;42(21):3877-3891. doi: 10.1002/sim.9838. Epub 2023 Jul 4.,2023,0,Stat Med
Stat Med. 1999 Feb 15;18(3):321-59. doi: 10.1002/(sici)1097-0258(19990215)18:3<321::aid-sim28>3.0.co;2-p.,1999,1,Stat Med
Stat Med. 2002 Oct 15;21(19):2899-908. doi: 10.1002/sim.1294.,2002,0,Stat Med
Stat Med. 2023 Nov 20;42(26):4738-4762. doi: 10.1002/sim.9886. Epub 2023 Sep 3.,2023,0,Stat Med
Stat Med. 2014 Oct 30;33(24):4141-69. doi: 10.1002/sim.6218. Epub 2014 Jun 9.,2014,0,Stat Med
Stat Med. 2005 Sep 30;24(18):2747-64. doi: 10.1002/sim.2151.,2005,0,Stat Med
Stat Med. 2001 Sep 15-30;20(17-18):2723-39. doi: 10.1002/sim.739.,2001,0,Stat Med
Stat Med. 2022 Dec 30;41(30):5789-5809. doi: 10.1002/sim.9594. Epub 2022 Nov 25.,2022,0,Stat Med
Stat Med. 1997 Nov 30;16(22):2587-98. doi: 10.1002/(sici)1097-0258(19971130)16:22<2587::aid-sim687>3.0.co;2-5.,1997,0,Stat Med
Stat Med. 2002 Feb 28;21(4):589-624. doi: 10.1002/sim.1040.,2002,1,Stat Med
Stat Med. 2023 Jul 10;42(15):2711-2727. doi: 10.1002/sim.9744. Epub 2023 Apr 16.,2023,0,Stat Med
Stat Med. 1999 Mar 30;18(6):629-41. doi: 10.1002/(sici)1097-0258(19990330)18:6<629::aid-sim72>3.0.co;2-y.,1999,0,Stat Med
Stat Med. 1999 Dec 30;18(24):3409-24. doi: 10.1002/(sici)1097-0258(19991230)18:24<3409::aid-sim377>3.0.co;2-8.,1999,1,Stat Med
Stat Med. 2022 Dec 20;41(29):5622-5644. doi: 10.1002/sim.9584. Epub 2022 Sep 23.,2022,0,Stat Med
Stat Med. 2023 May 20;42(11):1741-1759. doi: 10.1002/sim.9697. Epub 2023 Mar 6.,2023,1,Stat Med
Stat Med. 2023 Jun 15;42(13):2044-2060. doi: 10.1002/sim.9676. Epub 2023 Feb 10.,2023,0,Stat Med
Stat Med. 2022 Sep 10;41(20):3915-3940. doi: 10.1002/sim.9484. Epub 2022 Jun 5.,2022,1,Stat Med
Stat Med. 1995 Dec 30;14(24):2661-74. doi: 10.1002/sim.4780142406.,1995,0,Stat Med
Stat Med. 1995 Jan 30;14(2):185-97. doi: 10.1002/sim.4780140209.,1995,0,Stat Med
Stat Med. 2000 Jun 15-30;19(11-12):1401-9. doi: 10.1002/(sici)1097-0258(20000615/30)19:11/12<1401::aid-sim432>3.0.co;2-x.,2000,0,Stat Med
Stat Med. 2022 Dec 20;41(29):5753-5766. doi: 10.1002/sim.9591. Epub 2022 Oct 19.,2022,0,Stat Med
Stat Med. 2001 May 15-30;20(9-10):1443-60. doi: 10.1002/sim.681.,2001,0,Stat Med
Stat Med. 2020 Mar 15;39(6):801-813. doi: 10.1002/sim.8446. Epub 2019 Dec 4.,2020,0,Stat Med
Stat Med. 2021 Sep 30;40(22):4794-4808. doi: 10.1002/sim.9095. Epub 2021 Jun 14.,2021,1,Stat Med
Stat Med. 2020 Dec 10;39(28):4169-4186. doi: 10.1002/sim.8717. Epub 2020 Sep 3.,2020,0,Stat Med
Stat Med. 2002 Sep 15;21(17):2563-99. doi: 10.1002/sim.1216.,2002,0,Stat Med
Stat Med. 1995 Jan 30;14(2):115-26. doi: 10.1002/sim.4780140204.,1995,0,Stat Med
Stat Med. 2022 Sep 10;41(20):3975-3990. doi: 10.1002/sim.9487. Epub 2022 Jun 5.,2022,0,Stat Med
Stat Med. 2021 Nov 10;40(25):5453-5473. doi: 10.1002/sim.9134. Epub 2021 Jul 30.,2021,0,Stat Med
Stat Med. 2023 Aug 30;42(19):3529-3546. doi: 10.1002/sim.9818. Epub 2023 Jun 26.,2023,0,Stat Med
Stat Med. 2014 Sep 10;33(20):3421-33. doi: 10.1002/sim.5708. Epub 2012 Dec 17.,2014,0,Stat Med
Stat Med. 1995 Jun 15;14(11):1163-75. doi: 10.1002/sim.4780141103.,1995,0,Stat Med
Stat Med. 1998 Mar 15-Apr 15;17(5-7):517-32. doi: 10.1002/(sici)1097-0258(19980315/15)17:5/7<517::aid-sim799>3.0.co;2-s.,1998,0,Stat Med
Stat Med. 2002 Sep 30;21(18):2757-70. doi: 10.1002/sim.1229.,2002,0,Stat Med
Stat Med. 2013 Feb 20;32(4):556-77. doi: 10.1002/sim.5408. Epub 2012 Jun 18.,2013,0,Stat Med
Stat Med. 2003 Nov 15;22(21):3337-46. doi: 10.1002/sim.1635.,2003,0,Stat Med
Stat Med. 2023 Jun 30;42(14):2439-2454. doi: 10.1002/sim.9731. Epub 2023 Apr 2.,2023,1,Stat Med
Stat Med. 1998 Jun 30;17(12):1305-23. doi: 10.1002/(sici)1097-0258(19980630)17:12<1305::aid-sim853>3.0.co;2-w.,1998,0,Stat Med
Stat Med. 1997 Nov 30;16(22):2511-28. doi: 10.1002/(sici)1097-0258(19971130)16:22<2511::aid-sim693>3.0.co;2-4.,1997,0,Stat Med
Stat Med. 2006 Sep 30;25(18):3049-80. doi: 10.1002/sim.2650.,2006,0,Stat Med
Stat Med. 1999 Sep 15-30;18(17-18):2191-207. doi: 10.1002/(sici)1097-0258(19990915/30)18:17/18<2191::aid-sim249>3.0.co;2-m.,1999,0,Stat Med
Stat Med. 2021 Oct 30;40(24):5131-5151. doi: 10.1002/sim.9115. Epub 2021 Jun 23.,2021,1,Stat Med
Stat Med. 2022 Aug 15;41(18):3466-3478. doi: 10.1002/sim.9428. Epub 2022 May 16.,2022,1,Stat Med
Stat Med. 1999 Mar 15;18(5):497-525. doi: 10.1002/(sici)1097-0258(19990315)18:5<497::aid-sim45>3.0.co;2-#.,1999,0,Stat Med
Stat Med. 1995 May 15-30;14(9-10):1039-51; discussion 1053-5. doi: 10.1002/sim.4780140922.,1995,0,Stat Med
Stat Med. 1999 Oct 15;18(19):2655-79. doi: 10.1002/(sici)1097-0258(19991015)18:19<2655::aid-sim202>3.0.co;2-#.,1999,0,Stat Med
Stat Med. 2016 Sep 20;35(21):3827-50. doi: 10.1002/sim.6955. Epub 2016 Apr 18.,2016,0,Stat Med
Stat Med. 2008 Dec 30;27(30):6276-98. doi: 10.1002/sim.3450.,2008,0,Stat Med
Stat Med. 2002 Feb 15;21(3):389-95. doi: 10.1002/sim.1024.,2002,0,Stat Med
Stat Med. 2000 Apr 30;19(8):1115-39. doi: 10.1002/(sici)1097-0258(20000430)19:8<1115::aid-sim408>3.0.co;2-x.,2000,0,Stat Med
Stat Med. 1998 Aug 15-30;17(15-16):1753-65; discussion 1799-800. doi: 10.1002/(sici)1097-0258(19980815/30)17:15/16<1753::aid-sim977>3.0.co;2-x.,1998,0,Stat Med
Stat Med. 1998 Jan 30;17(2):143-54. doi: 10.1002/(sici)1097-0258(19980130)17:2<143::aid-sim757>3.0.co;2-y.,1998,0,Stat Med
Stat Med. 1998 Mar 15-Apr 15;17(5-7):739-56. doi: 10.1002/(sici)1097-0258(19980315/15)17:5/7<739::aid-sim818>3.0.co;2-m.,1998,0,Stat Med
Stat Med. 2021 Jan 30;40(2):451-464. doi: 10.1002/sim.8784. Epub 2020 Oct 26.,2021,1,Stat Med
Stat Med. 1998 Apr 30;17(8):797-812. doi: 10.1002/(sici)1097-0258(19980430)17:8<797::aid-sim776>3.0.co;2-g.,1998,0,Stat Med
Stat Med. 2022 Mar 30;41(7):1205-1224. doi: 10.1002/sim.9265. Epub 2021 Nov 25.,2022,0,Stat Med
Stat Med. 2023 May 10;42(10):1480-1491. doi: 10.1002/sim.9682. Epub 2023 Feb 20.,2023,0,Stat Med
Stat Med. 1993 Mar;12(5-6):481-92. doi: 10.1002/sim.4780120513.,1993,0,Stat Med
Stat Med. 1998 Aug 15-30;17(15-16):1813-23; discussion 1825-7. doi: 10.1002/(sici)1097-0258(19980815/30)17:15/16<1813::aid-sim983>3.0.co;2-8.,1998,0,Stat Med
Stat Med. 1997 Oct 30;16(20):2349-80. doi: 10.1002/(sici)1097-0258(19971030)16:20<2349::aid-sim667>3.0.co;2-e.,1997,0,Stat Med
Stat Med. 1998 Jun 30;17(12):1325-39. doi: 10.1002/(sici)1097-0258(19980630)17:12<1325::aid-sim854>3.0.co;2-r.,1998,0,Stat Med
Stat Med. 2021 Nov 20;40(26):5894-5909. doi: 10.1002/sim.9161. Epub 2021 Sep 3.,2021,1,Stat Med
Stat Med. 1996 Apr 15-May 15;15(7-9):873-85. doi: 10.1002/(sici)1097-0258(19960415)15:7/9<873::aid-sim256>3.0.co;2-u.,1996,0,Stat Med
Stat Med. 2000 Jun 15-30;19(11-12):1393-400. doi: 10.1002/(sici)1097-0258(20000615/30)19:11/12<1393::aid-sim431>3.0.co;2-o.,2000,0,Stat Med
Stat Med. 1996 Jun 30;15(12):1299-306; discussion 1307-11. doi: 10.1002/(SICI)1097-0258(19960630)15:12<1299::AID-SIM311>3.0.CO;2-A.,1996,1,Stat Med
Stat Med. 2023 Jul 20;42(16):2797-2810. doi: 10.1002/sim.9749. Epub 2023 Apr 19.,2023,0,Stat Med
Stat Med. 1999 Sep 15-30;18(17-18):2449-64. doi: 10.1002/(sici)1097-0258(19990915/30)18:17/18<2449::aid-sim268>3.0.co;2-w.,1999,0,Stat Med
Stat Med. 2011 Jul 10;30(15):1777-94. doi: 10.1002/sim.4249. Epub 2011 May 17.,2011,0,Stat Med
Stat Med. 2021 Oct 15;40(23):4947-4960. doi: 10.1002/sim.9104. Epub 2021 Jun 10.,2021,0,Stat Med
Stat Med. 2022 Jul 30;41(17):3365-3379. doi: 10.1002/sim.9422. Epub 2022 Apr 29.,2022,0,Stat Med
Stat Med. 1999 Sep 15-30;18(17-18):2271-86. doi: 10.1002/(sici)1097-0258(19990915/30)18:17/18<2271::aid-sim254>3.0.co;2-z.,1999,0,Stat Med
Stat Med. 2021 Jan 30;40(2):403-426. doi: 10.1002/sim.8781. Epub 2020 Nov 12.,2021,1,Stat Med
Stat Med. 2021 Jun 30;40(14):3385-3399. doi: 10.1002/sim.8970. Epub 2021 Apr 13.,2021,1,Stat Med
Stat Med. 2021 Jul 10;40(15):3533-3559. doi: 10.1002/sim.8981. Epub 2021 May 5.,2021,0,Stat Med
Stat Med. 2021 Nov 30;40(27):6107-6117. doi: 10.1002/sim.9173. Epub 2021 Aug 23.,2021,0,Stat Med
Stat Med. 2000 Jul 15;19(13):1707-28. doi: 10.1002/1097-0258(20000715)19:13<1707::aid-sim491>3.0.co;2-p.,2000,1,Stat Med
Stat Med. 1994 Jun 30;13(12):1211-31. doi: 10.1002/sim.4780131204.,1994,0,Stat Med
Stat Med. 2006 Jan 30;25(2):183-203. doi: 10.1002/sim.2319.,2006,0,Stat Med
Stat Med. 1998 Jan 15;17(1):59-68. doi: 10.1002/(sici)1097-0258(19980115)17:1<59::aid-sim733>3.0.co;2-7.,1998,0,Stat Med
