Citation,Year,Indicator,Journal
J Clin Epidemiol. 2007 Jun;60(6):572-8. doi: 10.1016/j.jclinepi.2006.11.009. Epub 2007 Mar 26.,2007,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 1998 Jun;51(6):461-4; discussion 465. doi: 10.1016/s0895-4356(98)00019-5.,1998,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Oct;150:51-62. doi: 10.1016/j.jclinepi.2022.06.004. Epub 2022 Jun 13.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2013 Dec;66(12):1417-21. doi: 10.1016/j.jclinepi.2013.03.007. Epub 2013 Jun 2.,2013,0,J Clin Epidemiol
J Clin Epidemiol. 2010 Jun;63(6):665-71. doi: 10.1016/j.jclinepi.2009.12.006. Epub 2010 Mar 21.,2010,0,J Clin Epidemiol
J Clin Epidemiol. 2016 Aug;76:125-36. doi: 10.1016/j.jclinepi.2016.02.020. Epub 2016 Feb 27.,2016,0,J Clin Epidemiol
J Clin Epidemiol. 2001 Jul;54(7):651-4. doi: 10.1016/s0895-4356(00)00360-7.,2001,0,J Clin Epidemiol
J Clin Epidemiol. 2015 Aug;68(8):957-66. doi: 10.1016/j.jclinepi.2015.03.010. Epub 2015 Mar 23.,2015,0,J Clin Epidemiol
J Clin Epidemiol. 2009 Jan;62(1):81-90. doi: 10.1016/j.jclinepi.2008.03.008. Epub 2008 Aug 22.,2009,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Nov;91:80-86. doi: 10.1016/j.jclinepi.2017.08.007. Epub 2017 Sep 1.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 2014 Feb;67(2):228-31. doi: 10.1016/j.jclinepi.2013.08.016. Epub 2013 Oct 31.,2014,0,J Clin Epidemiol
J Clin Epidemiol. 1999 Dec;52(12):1213-24. doi: 10.1016/s0895-4356(99)00114-6.,1999,0,J Clin Epidemiol
J Clin Epidemiol. 2019 Aug;112:77-86. doi: 10.1016/j.jclinepi.2019.04.012. Epub 2019 May 18.,2019,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2019 Nov;115:14-24. doi: 10.1016/j.jclinepi.2019.06.016. Epub 2019 Jul 2.,2019,0,J Clin Epidemiol
J Clin Epidemiol. 2014 Jan;67(1):33-45. doi: 10.1016/j.jclinepi.2013.06.021. Epub 2013 Oct 11.,2014,0,J Clin Epidemiol
J Clin Epidemiol. 2014 Oct;67(10):1059-69. doi: 10.1016/j.jclinepi.2014.05.007. Epub 2014 Jun 25.,2014,0,J Clin Epidemiol
J Clin Epidemiol. 2020 Apr;120:86-93. doi: 10.1016/j.jclinepi.2019.12.022. Epub 2020 Jan 7.,2020,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Feb;82:29-36.e6. doi: 10.1016/j.jclinepi.2016.10.008. Epub 2016 Nov 16.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 1996 Sep;49(9):1039-44. doi: 10.1016/0895-4356(96)00117-5.,1996,0,J Clin Epidemiol
J Clin Epidemiol. 2015 Dec;68(12):1488-95. doi: 10.1016/j.jclinepi.2015.03.006. Epub 2015 Mar 28.,2015,0,J Clin Epidemiol
J Clin Epidemiol. 2013 Aug;66(8):847-55. doi: 10.1016/j.jclinepi.2013.03.009. Epub 2013 Jun 6.,2013,0,J Clin Epidemiol
J Clin Epidemiol. 2020 Jan;117:68-77. doi: 10.1016/j.jclinepi.2019.09.024. Epub 2019 Oct 4.,2020,0,J Clin Epidemiol
J Clin Epidemiol. 2018 Jun;98:1-8. doi: 10.1016/j.jclinepi.2017.12.021. Epub 2017 Dec 30.,2018,0,J Clin Epidemiol
J Clin Epidemiol. 2010 Jun;63(6):596-606. doi: 10.1016/j.jclinepi.2009.09.010. Epub 2010 Jan 13.,2010,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Dec;152:23-29. doi: 10.1016/j.jclinepi.2022.08.014. Epub 2022 Sep 21.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2013 Jan;66(1):85-94. doi: 10.1016/j.jclinepi.2012.07.016. Epub 2012 Oct 25.,2013,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Feb;82:37-46. doi: 10.1016/j.jclinepi.2016.08.014. Epub 2016 Nov 16.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 2023 Feb;154:85-96. doi: 10.1016/j.jclinepi.2022.12.010. Epub 2022 Dec 15.,2023,0,J Clin Epidemiol
J Clin Epidemiol. 2011 Aug;64(8):821-9. doi: 10.1016/j.jclinepi.2010.10.006. Epub 2010 Dec 30.,2011,0,J Clin Epidemiol
J Clin Epidemiol. 2020 Oct;126:184-191. doi: 10.1016/j.jclinepi.2020.06.032. Epub 2020 Jul 1.,2020,0,J Clin Epidemiol
J Clin Epidemiol. 1992 Jun;45(6):639-49. doi: 10.1016/0895-4356(92)90136-b.,1992,0,J Clin Epidemiol
J Clin Epidemiol. 1996 Jan;49(1):15-20. doi: 10.1016/0895-4356(95)00540-4.,1996,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2016 Oct;78:22-33. doi: 10.1016/j.jclinepi.2016.03.014. Epub 2016 Mar 30.,2016,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2023 May;157:120-133. doi: 10.1016/j.jclinepi.2023.03.012. Epub 2023 Mar 17.,2023,0,J Clin Epidemiol
J Clin Epidemiol. 2004 Dec;57(12):1232-6. doi: 10.1016/j.jclinepi.2004.03.017.,2004,0,J Clin Epidemiol
J Clin Epidemiol. 2015 Jun;68(6):708-15. doi: 10.1016/j.jclinepi.2015.01.014. Epub 2015 Jan 28.,2015,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Dec;152:30-35. doi: 10.1016/j.jclinepi.2022.09.012. Epub 2022 Sep 27.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2020 Jul;123:177-179. doi: 10.1016/j.jclinepi.2020.03.016. Epub 2020 Mar 27.,2020,0,J Clin Epidemiol
J Clin Epidemiol. 2021 Nov;139:12-19. doi: 10.1016/j.jclinepi.2021.07.006. Epub 2021 Jul 16.,2021,0,J Clin Epidemiol
J Clin Epidemiol. 1999 Aug;52(8):801-12. doi: 10.1016/s0895-4356(99)00036-0.,1999,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2016 Jan;69:147-51. doi: 10.1016/j.jclinepi.2015.04.010. Epub 2015 Apr 30.,2016,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Apr;84:85-94. doi: 10.1016/j.jclinepi.2017.02.005. Epub 2017 Feb 27.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 2023 May;157:146-153. doi: 10.1016/j.jclinepi.2023.01.006. Epub 2023 Jan 25.,2023,0,J Clin Epidemiol
J Clin Epidemiol. 2014 Jan;67(1):65-72. doi: 10.1016/j.jclinepi.2013.08.004. Epub 2013 Nov 1.,2014,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2019 Feb;106:32-40. doi: 10.1016/j.jclinepi.2018.09.006. Epub 2018 Sep 25.,2019,0,J Clin Epidemiol
J Clin Epidemiol. 2018 Apr;96:35-46. doi: 10.1016/j.jclinepi.2017.12.019. Epub 2017 Dec 27.,2018,0,J Clin Epidemiol
J Clin Epidemiol. 2019 Sep;113:44-57. doi: 10.1016/j.jclinepi.2019.04.017. Epub 2019 May 9.,2019,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Dec;152:288-294. doi: 10.1016/j.jclinepi.2022.09.013. Epub 2022 Sep 28.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Dec;152:269-280. doi: 10.1016/j.jclinepi.2022.10.005. Epub 2022 Oct 15.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 1997 Jun;50(6):693-703. doi: 10.1016/s0895-4356(97)00015-2.,1997,0,J Clin Epidemiol
J Clin Epidemiol. 2014 Jun;67(6):629-34. doi: 10.1016/j.jclinepi.2013.09.020. Epub 2014 Jan 3.,2014,0,J Clin Epidemiol
J Clin Epidemiol. 1997 Jan;50(1):105-16. doi: 10.1016/s0895-4356(96)00268-5.,1997,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Nov;91:111-120. doi: 10.1016/j.jclinepi.2017.07.005. Epub 2017 Jul 18.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 2016 Dec;80:25-33. doi: 10.1016/j.jclinepi.2016.04.015. Epub 2016 Aug 5.,2016,1,J Clin Epidemiol
J Clin Epidemiol. 2006 Apr;59(4):404-11. doi: 10.1016/j.jclinepi.2005.08.016. Epub 2006 Feb 14.,2006,0,J Clin Epidemiol
J Clin Epidemiol. 1997 Apr;50(4):385-91. doi: 10.1016/s0895-4356(97)00041-3.,1997,0,J Clin Epidemiol
J Clin Epidemiol. 2015 Mar;68(3):257-65. doi: 10.1016/j.jclinepi.2014.09.024. Epub 2014 Nov 7.,2015,0,J Clin Epidemiol
J Clin Epidemiol. 2019 Sep;113:64-74. doi: 10.1016/j.jclinepi.2019.05.009. Epub 2019 May 20.,2019,0,J Clin Epidemiol
J Clin Epidemiol. 1993 Jun;46(6):497-507. doi: 10.1016/0895-4356(93)90122-h.,1993,0,J Clin Epidemiol
J Clin Epidemiol. 2003 Oct;56(10):1027-8. doi: 10.1016/s0895-4356(03)00169-0.,2003,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Aug;148:115-123. doi: 10.1016/j.jclinepi.2022.03.018. Epub 2022 Mar 26.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2004 Oct;57(10):1033-9. doi: 10.1016/j.jclinepi.2004.03.004.,2004,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Dec;152:36-46. doi: 10.1016/j.jclinepi.2022.09.011. Epub 2022 Sep 27.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2021 Dec;140:44-55. doi: 10.1016/j.jclinepi.2021.08.032. Epub 2021 Sep 3.,2021,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2007 Dec;60(12):1205-19. doi: 10.1016/j.jclinepi.2007.04.020. Epub 2007 Sep 24.,2007,0,J Clin Epidemiol
J Clin Epidemiol. 2023 Aug 31;162:127-134. doi: 10.1016/j.jclinepi.2023.08.010. Online ahead of print.,2023,0,J Clin Epidemiol
J Clin Epidemiol. 1995 Apr;48(4):545-9. doi: 10.1016/0895-4356(94)00211-8.,1995,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2003 Apr;56(4):341-50. doi: 10.1016/s0895-4356(03)00007-6.,2003,0,J Clin Epidemiol
J Clin Epidemiol. 2011 May;64(5):531-6. doi: 10.1016/j.jclinepi.2010.06.001. Epub 2010 Sep 17.,2011,0,J Clin Epidemiol
J Clin Epidemiol. 2023 Feb;154:125-135. doi: 10.1016/j.jclinepi.2022.12.001. Epub 2022 Dec 8.,2023,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Aug;148:93-103. doi: 10.1016/j.jclinepi.2022.04.024. Epub 2022 Apr 26.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Aug;88:122-132. doi: 10.1016/j.jclinepi.2017.05.010. Epub 2017 May 22.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 1996 Feb;49(2):141-9. doi: 10.1016/0895-4356(95)00519-6.,1996,0,J Clin Epidemiol
J Clin Epidemiol. 2018 Jun;98:24-32. doi: 10.1016/j.jclinepi.2018.01.011. Epub 2018 Feb 10.,2018,0,J Clin Epidemiol
J Clin Epidemiol. 1996 Feb;49(2):183-92. doi: 10.1016/0895-4356(95)00518-8.,1996,0,J Clin Epidemiol
J Clin Epidemiol. 2010 May;63(5):502-12. doi: 10.1016/j.jclinepi.2008.06.007. Epub 2008 Sep 26.,2010,0,J Clin Epidemiol
J Clin Epidemiol. 2009 Mar;62(3):328-36. doi: 10.1016/j.jclinepi.2008.06.004. Epub 2008 Oct 1.,2009,0,J Clin Epidemiol
J Clin Epidemiol. 2020 Sep;125:120-129. doi: 10.1016/j.jclinepi.2020.05.032. Epub 2020 Jun 9.,2020,0,J Clin Epidemiol
J Clin Epidemiol. 2016 Nov;79:3-9. doi: 10.1016/j.jclinepi.2016.06.003. Epub 2016 Jun 10.,2016,0,J Clin Epidemiol
J Clin Epidemiol. 2016 Apr;72:98-106. doi: 10.1016/j.jclinepi.2014.10.011. Epub 2014 Dec 19.,2016,0,J Clin Epidemiol
J Clin Epidemiol. 1994 Aug;47(8):891-6. doi: 10.1016/0895-4356(94)90192-9.,1994,0,J Clin Epidemiol
J Clin Epidemiol. 1999 Jul;52(7):643-51. doi: 10.1016/s0895-4356(99)00049-9.,1999,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Feb;82:20-28. doi: 10.1016/j.jclinepi.2016.11.002. Epub 2016 Nov 15.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2004 Jun;57(6):610-9. doi: 10.1016/j.jclinepi.2003.10.009.,2004,0,J Clin Epidemiol
J Clin Epidemiol. 2006 Mar;59(3):224-33. doi: 10.1016/j.jclinepi.2005.08.005.,2006,0,J Clin Epidemiol
J Clin Epidemiol. 2000 Apr;53(4):367-75. doi: 10.1016/s0895-4356(99)00179-1.,2000,1,J Clin Epidemiol
J Clin Epidemiol. 2007 Dec;60(12):1263-70. doi: 10.1016/j.jclinepi.2007.04.006. Epub 2007 Aug 23.,2007,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2006 Nov;59(11):1169-73. doi: 10.1016/j.jclinepi.2006.02.016. Epub 2006 Jul 26.,2006,0,J Clin Epidemiol
J Clin Epidemiol. 2014 Apr;67(4):368-75. doi: 10.1016/j.jclinepi.2013.11.007.,2014,0,J Clin Epidemiol
J Clin Epidemiol. 2010 Jun;63(6):620-6. doi: 10.1016/j.jclinepi.2009.12.014.,2010,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2005 Jul;58(7):651-4. doi: 10.1016/j.jclinepi.2005.01.001. Epub 2005 Apr 18.,2005,0,J Clin Epidemiol
J Clin Epidemiol. 2020 May;121:15-19. doi: 10.1016/j.jclinepi.2020.01.001. Epub 2020 Jan 3.,2020,0,J Clin Epidemiol
J Clin Epidemiol. 2013 Aug;66(8 Suppl):S21-8. doi: 10.1016/j.jclinepi.2013.04.006.,2013,0,J Clin Epidemiol
J Clin Epidemiol. 2010 Feb;63(2):117-25. doi: 10.1016/j.jclinepi.2008.09.019. Epub 2009 Oct 31.,2010,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2000 May;53(5):469-76. doi: 10.1016/s0895-4356(99)00205-x.,2000,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2014 Apr;67(4):391-400. doi: 10.1016/j.jclinepi.2013.10.015. Epub 2014 Jan 31.,2014,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2011 Jul;64(7):760-9. doi: 10.1016/j.jclinepi.2010.10.005. Epub 2011 Jan 5.,2011,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Nov;91:56-69. doi: 10.1016/j.jclinepi.2017.07.008. Epub 2017 Jul 25.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 2003 Apr;56(4):377-84. doi: 10.1016/s0895-4356(02)00590-5.,2003,0,J Clin Epidemiol
J Clin Epidemiol. 2016 Aug;76:57-64. doi: 10.1016/j.jclinepi.2015.11.016. Epub 2016 Jan 6.,2016,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2023 Oct 23;165:111197. doi: 10.1016/j.jclinepi.2023.10.013. Online ahead of print.,2023,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Dec;152:193-200. doi: 10.1016/j.jclinepi.2022.10.013. Epub 2022 Oct 18.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2011 Jan;64(1):107-15. doi: 10.1016/j.jclinepi.2010.02.007. Epub 2010 Jun 16.,2011,0,J Clin Epidemiol
J Clin Epidemiol. 2013 Dec;66(12):1340-6.e5. doi: 10.1016/j.jclinepi.2013.06.009. Epub 2013 Sep 7.,2013,0,J Clin Epidemiol
J Clin Epidemiol. 2001 Dec;54 Suppl 1:S29-34. doi: 10.1016/s0895-4356(01)00444-9.,2001,0,J Clin Epidemiol
J Clin Epidemiol. 2023 Apr;156:42-52. doi: 10.1016/j.jclinepi.2023.02.003. Epub 2023 Feb 8.,2023,1,J Clin Epidemiol
